拼音,6星干员,5星干员,4星干员,3星干员,2星干员,1星干员,成语
bo,,薄绿,波登可,,,,暗送秋波 班驳陆离 斑驳陆离 褒衣博带 拨云雾见青天 波波碌碌 波骇云属 波澜老成 波罗塞戏 波罗奢花 波属云委 剥肤及髓 伯歌季舞 伯劳飞燕 伯玉知非 博大精深 博览五车 博文约礼 博闻辩言 博闻多识 博物多闻 博学多闻 薄暮冥冥 薄物细故 跛行千里 擘肌分理 不值一驳 布帛菽粟 乘舆播越 淡泊明志 地大物博 短见薄识 菲食薄衣 浮名薄利 妇姑勃溪 妇姑勃豨 古井不波 古井无波 海不波溢 海不扬波 红颜薄命 滑泥扬波 击钵催诗 击搏挽裂 积露为波 尖酸刻薄 浇风薄俗 解衣般礴 澜倒波随 流离播迁 流离播越 陆离斑驳 米盐博辩 前仆后踣 山积波委 身单力薄 生机勃勃 生气勃勃 守约施搏 瘦羊博士 四海波静 耸膊成山 随波逐尘 随波逐流 挑拨离间 推波助澜 帏箔不修 帷箔不修 帷薄不修 无风扬波 相惊伯有 兴致勃勃 学识渊博 沿波讨源 一波万波 衣单食薄 义薄云天 饮冰食檗 饮冰食蘖 鱼书雁帛 著于竹帛
bu,,布洛卡,布丁,,,,爱不释手 暧昧不明 按步就班 按部就班 暗室不欺 嗷嗷待哺 白黑不分 白首不渝 百不获一 百不失一 百不一贷 百不一遇 百读不厌 百年不遇 百世不磨 百世不易 百思不得其解 百思不解 百战不殆 百折不摧 百折不回 百折不移 半间不界 半身不遂 半生不熟 半死不活 半文不白 宝刀不老 悲不自胜 边尘不惊 鞭不及腹 并行不悖 逋逃之臣 补天柱地 不安其室 不安于室 不安于位 不白之冤 不败之地 不便水土 不辨菽麦 不辨菽粟 不辨真伪 不辩菽麦 不成器 不逞之徒 不吃烟火食 不痴不聋 不耻下问 不啻天渊 不辞劳苦 不次之迁 不次之位 不打不成相识 不打不相识 不待蓍龟 不得开交 不得其死 不得违误 不得要领 不费之惠 不分青白 不分青红皂白 不分胜负 不分玉石 不分皂白 不分畛域 不愤不启 不丰不俭 不服水土 不瞽不聋 不顾前后 不顾死活 不龟手药 不轨之徒 不好意思 不合时宜 不怀好意 不遑启处 不遑暇食 不讳之路 不惑之年 不饥不寒 不即不离 不急之务 不疾不徐 不计其数 不间不界 不骄不躁 不教之教 不解之缘 不经世故 不经之语 不可端倪 不可多得 不可教训 不可究诘 不可救药 不可开交 不可揆度 不可理喻 不可摸捉 不可企及 不可胜道 不可胜计 不可胜记 不可胜纪 不可胜数 不可胜算 不可胜言 不可收拾 不可思议 不可言喻 不可一世 不可移易 不可逾越 不可造次 不可捉摸 不媿下学 不愧不作 不愧不怍 不愧下学 不立文字 不磷不缁 不吝赐教 不吝指教 不吝珠玉 不留余地 不露圭角 不落边际 不落窠臼 不落俗套 不名一格 不名一钱 不名一文 不明不白 不牧之地 不能自已 不期修古 不欺闇室 不欺暗室 不情之请 不求甚解 不求闻达 不容置辩 不容置喙 不容置疑 不声不气 不声不响 不胜其苦 不失圭撮 不失毫厘 不失时机 不失黍絫 不时之须 不时之需 不识不知 不识大体 不识好歹 不识起倒 不识时务 不识泰山 不识之无 不食烟火 不食之地 不世之业 不事边幅 不爽累黍 不死不活 不速之客 不随以止 不腆之仪 不为五斗米折腰 不为已甚 不文不武 不闻不问 不问不闻 不问青红皂白 不问皂白 不无小补 不舞之鹤 不务空名 不务正业 不习地土 不习水土 不習水土 不相闻问 不相问闻 不晓世务 不修边幅 不修小节 不脩边幅 不虚此行 不徐不疾 不学无识 不学无术 不徇私情 不言不语 不厌其详 不夷不惠 不遗余力 不以辞害志 不以为耻 不以为奇 不以为意 不以一眚掩大德 不亦善夫 不易一字 不因不由 不阴不阳 不由自主 不虞之誉 不远千里 不远万里 不越雷池 不正之风 不知端倪 不知好歹 不知纪极 不知就里 不知利害 不知其详 不知起倒 不知寝食 不知深浅 不知世务 不知死活 不知自爱 不直一钱 不直一文 不值一驳 不值一顾 不值一钱 不值一哂 不值一笑 不忮不求 不治之症 不置褒贬 不着边际 不做不休 布帛菽粟 布袋里老鸦 布衣粝食 布衣黔首 布衣蔬食 布衣韦带 布衣之交 缠夹不清 蝉不知雪 沉迷不悟 沉吟不语 乘其不备 乘其不意 吃力不讨好 迟疑不断 持正不阿 踟蹰不前 尺布斗粟 侈侈不休 出敌不意 出其不备 出其不意 出其不虞 出师不利 出言不逊 唇不离腮 词不达意 词不逮理 词不逮意 辞不达义 辞不达意 辞不获命 刺刺不休 措手不及 错落不齐 大辩不言 大步流星 大惑不解 大节不夺 大逆不道 大璞不完 待理不理 丹青不渝 道不掇遗 道不拾遗 得不补失 低回不已 滴水不羼 敌不可假 谛分审布 斗米尺布 斗粟尺布 读不舍手 独步天下 独步一时 独木不成林 独木不林 短褐不完 防不及防 防不胜防 放达不羁 放诞不羁 分毫不爽 分毫不值 分文不名 分文不直 分文不值 纷纷不一 奋不顾命 奋不顾身 奋身不顾 忿不顾身 愤不顾身 愤不欲生 丰屋蔀家 风不鸣条 风景不殊 风马不接 烽鼓不息 簠簋不饬 黼蔀黻纪 负固不服 富贵不能淫 富贵不淫 格格不吐 古井不波 鼓腹含哺 固步自封 故步自封 故步自画 故旧不弃 顾前不顾后 圭角不露 诡诞不经 贵不可言 贵不期骄 海不波溢 海不扬波 含哺鼓腹 邯郸学步 邯郸重步 毫不讳言 毫不介意 毫厘不爽 豪放不羁 好汉不吃眼前亏 河不出图 褐衣不完 闳侈不经 闳大不经 后悔不及 后手不接 荒诞不经 惶惶不安 惶恐不安 悔之不及 毁不危身 毁誉不一 祸不单行 击其不意 饥不遑食 饥不暇食 机不可失 机事不密 鸡不及凤 积不相能 急不及待 急不可待 疾不可为 几不欲生 佳兵不祥 坚不可摧 坚持不渝 坚守不渝 坚贞不渝 间不容砺 间不容息 见溺不救 见死不救 脚不沾地 结不解缘 桀敖不驯 桀傲不驯 桀骜不驯 桀骜不逊 泾渭不分 经久不息 敬事不暇 纠缠不清 九死不悔 久假不归 酒酸不售 刻不待时 刻不容松 恪守不渝 孔席不适 哭笑不得 苦不可言 跬步千里 来处不易 来历不明 来世不可待 来者不善 来之不易 磊瑰不羁 磊落不羁 嫠不恤纬 礼无不答 理不胜辞 醴酒不设 力不能及 力不能支 力不自胜 立于不败之地 利不亏义 临危不顾 临文不讳 令不虚行 流年不利 六神不安 六畜不安 鹿裘不完 路不拾遗 马不解鞍 马尘不及 没世不渝 美不胜收 迷惑不解 靡坚不摧 密云不雨 名不符实 名不副实 名不虚得 名不虚立 明教不变 明刑不戮 冥顽不灵 墨突不黔 默不作声 目不见睫 目不交睫 目不窥园 目不识书 目不暇给 目不暇接 目不知书 泥古不化 七步成诗 棋布错峙 棋布星陈 棋布星罗 旗布星峙 泣不成声 泣不可仰 千古不磨 千古不朽 千古独步 牵萝补屋 牵萝莫补 前言不搭后语 勤能补拙 寝不安席 寝不成寐 寝食不安 青黄不接 青山不老 青云独步 情不自已 求神问卜 求之不得 桑荫不徙 舌挢不下 伸手不见五指 身不由己 身不由主 身不遇时 神不附体 神不收舍 神不守舍 神不知鬼不晓 神龙见首不见尾 神情不属 生不逢辰 生不逢时 生不遇时 生生不息 生生不已 生死不渝 生死未卜 虱多不痒 十步香车 十年九不遇 十死不问 石赤不夺 时不可失 时运不济 时运不齐 食不充饥 食不遑味 食不兼味 食不累味 食不暇饱 食不下咽 食不知味 食不重味 食古不化 食生不化 矢志不移 矢志不渝 始愿不及此 事不师古 事不宜迟 事不有余 誓死不渝 手不释书 手不土 守节不移 守正不回 寿不压职 寿陵失步 授受不亲 书不释手 疏不间亲 数不胜数 水火不辞 水火不兼容 水火不相容 水土不服 思不出位 死不瞑目 四体不勤 驷不及舌 俗不可医 夙夜不解 素不相能 素不相识 遂迷不竝 遂迷不寤 滔滔不断 滔滔不竭 天不假年 天不作美 天地不容 天理不容 天年不齐 天年不遂 天下独步 恬不为意 恬不知耻 恬不知愧 恬不知羞 跳到黄河洗不清 图作不轨 顽固不化 晚节不保 万不得已 万不失一 万劫不复 万世不易 万死不辞 为期不远 韦裤布被 帏箔不修 帏薄不修 唯邻是卜 帷箔不修 帷薄不修 帷幕不修 委靡不振 萎糜不振 萎靡不振 未为不可 位不期骄 畏葸不前 无般不识 无补于事 无大不大 无坚不摧 无可不可 无可无不可 无奇不有 无施不可 无施不效 无微不至 无盐不解淡 无一不备 无一不知 无幽不烛 无远不届 五步成诗 五谷不分 五谷不升 五十步笑百步 武不善作 勿谓言之不预也 息黥补劓 洗雪逋负 喜不自胜 系风捕景 瑕不搑瑜 瑕不掩瑜 下不为例 下落不明 下愚不移 夏虫不可以语冰 相持不下 哓哓不休 小小不言 孝思不匮 笑不可仰 星罗棋布 星罗云布 行兵布阵 行不得也哥哥 行不副言 行不胜衣 行不由径 行不逾方 学步邯郸 严惩不贷 言不达意 言不逮意 言不顾行 言不及行 言不及义 言行不符 言行不一 言者不知 言之不预 掩其不备 眼不见为净 仰不愧天 怏怏不悦 妖不胜德 杳不可闻 夜不成寐 一病不起 一步一个脚印 一步一鬼 一尘不到 一尘不缁 一成不变 一成不易 一谷不升 一脚不移 一孔不达 一暝不视 一瞑不视 一钱不落虚空地 一钱不名 一钱不值 一事不知 一丝不紊 一文不名 一文不值 一物不知 一字不易 衣不解带 依依不舍 以丰补歉 以勤补拙 义不容辞 艺不压身 谊不容辞 意想不到 殷鉴不远 引绳棋布 优游不断 有条不紊 有眼不识泰山 于事无补 愚不可及 瑜不搑瑕 瑜不掩瑕 语焉不详 玉石不分 郁郁不得志 欲速不达 源源不断 远不间亲 云布雨施 殒身不恤 遭家不造 皂白不分 战无不克 战无不胜 正言不讳 政令不一 之死不渝 枝布叶分 枝流叶布 知命不忧 知无不言 知止不殆 执迷不误 执迷不悟 执迷不醒 直言不讳 只字不提 至死不变 至死不悟 至死不渝 置之不顾 置之不理 诛求不已 卓荦不羁 捉风捕月 孜孜不怠 锱铢不爽 自不待言 自顾不暇 自救不暇 坐不安席 坐不重席 坐立不安 坐视不救 坐树不言
cang,,苍苔,,,,,暗度陈仓 暗渡陈仓 饱经沧桑 仓皇出逃 仓皇失措 仓皇无措 沧海桑田 沧海一鳞 沧海一粟 沧海遗珠 苍白无力 苍翠欲滴 苍松翠柏 藏器待时 藏之名山 藏诸名山 皓首苍颜 话里藏阄 拉捭摧藏 陵谷沧桑 千仓万箱 戎马仓皇 桑田沧海 神藏鬼伏 神枢鬼藏 什袭以藏 什袭珍藏 太仓稊米 太仓一粟 退藏于密 五藏六府 笑里藏刀 掩瑕藏疾 邺架之藏 遗形藏志 隐介藏形 郁郁苍苍 韫椟藏珠 珠沉沧海
chan,,,缠丸,,,,病魔缠身 搀前落后 禅絮沾泥 缠夹不清 蝉不知雪 铲迹销声 阐幽明微 滴水不羼 分家析产 分烟析产 革奸铲暴 鬼刻神劖 积谗糜骨 积谗磨骨 纠缠不清 倾家败产 倾家竭产 研精阐微 眼馋肚饱 薏苡之谗 忧谗畏讥
che,,车尔尼,,,,,宝马香车 杯蛇鬼车 兵车之会 博览五车 车尘马迹 车水马龙 车填马隘 车辙马迹 扯鼓夺旗 扯旗放炮 扯纤拉烟 彻首彻尾 澈底澄清 乘车戴笠 大彻大悟 大澈大悟 戴笠乘车 风车雨马 风车云马 风掣雷行 风马云车 辅车唇齿 辅车相依 覆车之轨 覆车之鉴 覆车之戒 汗血盐车 鸿案鹿车 后车之戒 骥伏盐车 骥服盐车 鸠车竹马 拉拉扯扯 流天澈地 马龙车水 马水车龙 马咽车阗 骂天扯地 前车可鉴 前车之鉴 轻车熟道 轻车熟路 十步香车 书读五车 熟路轻车 素车白马 随车夏雨 随车致雨 五车腹笥 下车伊始 下车之始 下车作威 香车宝马 响彻云际 响彻云霄 学富五车 一彻万融 造车合辙
chen,陈,,,,,,案剑瞋目 暗度陈仓 暗渡陈仓 黯晦消沉 边尘不惊 逋逃之臣 车尘马迹 沉浮俯仰 沉疴宿疾 沉迷不悟 沉声静气 沉思默想 沉吟不语 沉鱼落雁 沉冤莫白 沉冤莫雪 陈陈相因 陈谷子烂芝麻 陈力就列 陈言肤词 陈言老套 晨兢夕厉 晨秦暮楚 晨提夕命 晨兴夜寐 称家有无 趁风使柁 趁哄打劫 趁火打劫 趁水和泥 风尘碌碌 风尘仆仆 风尘之变 风尘之会 浮石沉木 割地称臣 鸿断鱼沉 花辰月夕 花晨月夕 黄尘清水 回嗔作喜 接风洗尘 久历风尘 流落风尘 落雁沉鱼 马尘不及 买臣覆水 昧旦晨兴 目无下尘 暮气沉沉 仆仆风尘 棋布星陈 迁臣逐客 清尘浊水 生不逢辰 石沉大海 拾陈蹈故 市井之臣 释缚焚榇 霜露之辰 死气沉沉 随波逐尘 随世沉浮 随俗沉浮 随俗浮沉 兔起乌沉 严陈以待 雁断鱼沉 雁逝鱼沉 雁杳鱼沉 一尘不到 一尘不缁 一路风尘 宜嗔宜喜 宜喜宜嗔 遗风逸尘 遗老孤臣 逸尘断鞅 因袭陈规 茵席之臣 鱼沉鸿断 鱼沉雁静 鱼沉雁落 鱼沉雁杳 与世沉浮 与世浮沉 玉碎珠沉 郁郁沉沉 冤沉海底 沅茞澧兰 月落星沉 月夕花晨 云飞泥沉 晕晕沉沉 折冲之臣 朱陈之好 珠沉沧海 珠沉玉碎 珠沉玉陨 珠沉玉磒
cheng,澄闪,承曦格雷伊,,,,,白手成家 百般奉承 百城之富 百事无成 百无一成 抱诚守真 背城借一 背城一战 兵临城下 波澜老成 不成器 不逞之徒 不打不成相识 澈底澄清 称雨道晴 撑天拄地 瞠目结舌 成败得失 成败兴废 成风之斫 成己成物 成家立计 成家立业 成名成家 成年古代 成年累月 成千成万 成千累万 成也萧何败萧何 成一家言 承前启后 承嬗离合 承天之佑 承天之祐 诚惶诚恐 乘车戴笠 乘肥衣轻 乘机打劫 乘间抵隙 乘间伺隙 乘利席胜 乘龙佳婿 乘其不备 乘其不意 乘胜逐北 乘时乘势 乘势使气 乘隙捣虚 乘虚蹈隙 乘舆播越 乘云行泥 惩忿窒欲 惩一戒百 惩一儆百 惩一警百 澄清天下 澄神离形 逞娇呈美 逞娇斗媚 骋怀游目 驰风骋雨 赤诚相待 触目成诵 大器晚成 戴笠乘车 单兵孤城 得失成败 滴水成冰 滴水成河 独木不成林 飞龙乘云 奉令承教 奉天承运 负乘斯夺 负土成坟 割地称臣 格于成例 骨化风成 固执成见 黑云压城城欲摧 化腐成奇 画地成牢 画地成图 挥汗成雨 挥剑成河 积非成是 积厚成器 积劳成病 积劳成疾 积善成德 积水成渊 积土成山 积微成著 积习成俗 积小成大 积忧成疾 及第成名 急于求成 集腋成裘 既成事实 继继承承 加减乘除 家成业就 狡焉思逞 接袂成帷 竭诚相待 久病成医 开诚相见 开物成务 可乘之机 可乘之隙 刻鹄成鹜 空城计 老成见到 老大无成 里程碑 麟趾呈祥 龙凤呈祥 没世无称 磨杵成针 墨守成规 七步成诗 泣不成声 千乘万骑 前程万里 俏成俏败 寝不成寐 山阴乘兴 十成九稳 事以密成 适以相成 收成弃败 收回成命 竖子成名 司马称好 四海承风 耸膊成山 桃李成蹊 推诚接物 推诚相见 推诚置腹 为好成歉 围城打援 未成一篑 蔚成风气 乌焉成马 无机可乘 无间可乘 无为自成 无隙可乘 五步成诗 希旨承颜 习非成是 习以成俗 习与性成 相辅相成 相生相成 相习成风 相沿成俗 相沿成习 小惩大诫 行成于思 修辞立诚 脩辞立诚 血流成河 熏陶成性 严惩不贷 言之成理 盐梅相成 养虺成蛇 夜不成寐 一秉虔诚 一成不变 一成不易 一顾倾城 一脉相承 一气呵成 一事无成 一笑倾城 一柱承天 衣轻乘肥 疑行无成 以酒解酲 以求一逞 以镒称铢 以铢称镒 以铢程镒 因利乘便 忧愤成疾 游目骋怀 有机可乘 有隙可乘 有志竟成 有志者事竟成 囿于成见 余霞成绮 羽翼已成 玉成其美 玉成其事 云程万里 政以贿成 铸成大错 卓有成效 着手成春 自成一格 自成一家 坐视成败 坐享其成
chi,斥罪,赤冬,,,,,白齿青眉 白眉赤眼 白兔赤乌 白鱼赤乌 百尺无枝 抱怨雪耻 不吃烟火食 不痴不聋 不耻下问 不啻天渊 不以为耻 不越雷池 吃惊受怕 吃力不讨好 鸱鸦嗜鼠 池酒林胾 池鱼林木 池鱼幕燕 池鱼之祸 池鱼之殃 驰风骋雨 驰马试剑 驰名天下 驰志伊吾 迟迟吾行 迟暮之年 迟疑不断 持戈试马 持久之计 持禄养交 持正不阿 持之有故 踟蹰不前 尺板斗食 尺布斗粟 尺幅千里 尺蠖求伸 尺籍伍符 尺竹伍符 侈侈不休 侈丽闳衍 侈衣美食 齿白唇红 齿颊生香 齿牙为猾 齿牙为祸 齿牙馀惠 齿牙馀慧 齿牙之猾 叱嗟风云 赤诚相待 赤地千里 赤身露体 赤身裸体 唇齿相须 唇齿相依 唇腐齿落 唇红齿白 唇揭齿寒 唇竭齿寒 大吃一惊 戴眉含齿 倒持手板 倒持太阿 斗米尺布 斗粟尺布 斗牙拌齿 断缣尺楮 辅车唇齿 簠簋不饬 各持己见 熯天炽地 好吃懒做 好汉不吃眼前亏 闳侈不经 厚颜无耻 化鸱为凤 荒淫无耻 挥翰临池 祸及池鱼 屐齿之折 假痴假呆 假誉驰声 坚持不渝 骄侈暴佚 鸠集凤池 利齿伶牙 利齿能牙 俐齿伶牙 裂眦嚼齿 临池学书 伶牙俐齿 灵牙利齿 六尺之孤 马迟枚疾 没齿无怨 明耻教战 磨牙凿齿 能牙利齿 姗姗来迟 珊珊来迟 石赤不夺 事不宜迟 天涯咫尺 恬不知耻 文弛武玩 无耻之尤 五尺竖子 瞎马临池 相持不下 象齿焚身 小黠大痴 行己有耻 埙篪相和 殃及池鱼 瑶池玉液 以一持万 龈齿弹舌 引以为耻 振裘持领 枝叶相持 咫尺千里 咫尺天涯 咫尺天颜 咫尺万里 咫尺威颜 咫尺之书 朱唇皓齿 自讨苦吃 坐吃山空
chong,重岳,,,,,,百舍重茧 百舍重趼 备位充数 充饥画饼 充天塞地 舂容大雅 虫鱼之学 崇雅黜浮 宠柳娇花 黜奢崇俭 豆重榆瞑 肚里蛔虫 断袖之宠 故技重演 邯郸重步 闳言崇议 画饼充饥 鸡虫得丧 鸡虫得失 旧地重游 旧话重提 旧雨重逢 滥竽充数 累屋重架 柳宠花迷 栖冲业简 气充志骄 气冲霄汉 食不充饥 食不重味 水火兵虫 四冲六达 推崇备至 物腐虫生 夏虫不可以语冰 夏虫疑冰 夏虫语冰 偃武崇文 一飞冲天 一重一掩 移风崇教 以戈舂黍 远涉重洋 怨气冲天 折冲御侮 折冲之臣 重蹈覆辙 重迹屏气 重理旧业 重明继焰 重葩累藻 重起炉灶 重山复岭 重山复水 重生父母 重温旧业 重熙累绩 重熙累盛 重熙累叶 重兴旗鼓 重振旗鼓 重整旗鼓 坐不重席
chu,,初雪,,,,,安身之处 安室利处 百无是处 半路出家 北辕适楚 变态百出 兵出无名 不遑启处 仓皇出逃 晨秦暮楚 踟蹰不前 崇雅黜浮 出处殊涂 出处殊途 出处语默 出词吐气 出敌不意 出其不备 出其不意 出其不虞 出奇制胜 出奇致胜 出师不利 出师无名 出师有名 出手得卢 出水芙蓉 出言不逊 出言吐词 出言吐气 出言吐语 出震继离 初生犊 初生之犊 除害兴利 除疾遗类 雏凤清声 杵臼交 杵臼之交 楚楚可爱 楚楚谡谡 楚楚有致 楚楚作态 楚歌四合 楚歌四起 楚歌之计 楚界汉河 楚水吴山 楚天云雨 楚舞吴歌 楚腰蛴领 楚雨巫云 楚越之急 楚云湘雨 鄐诜丹桂 触处机来 触地号天 触景生情 触目成诵 触目皆是 触手可及 触手生春 触物兴怀 黜奢崇俭 黜幽陟明 黜陟幽明 大处落墨 大处着墨 大处着眼 大打出手 儋石之储 独出机杼 独出己见 独到之处 杜渐除微 断缣尺楮 多收并畜 飞刍挽粒 飞刍挽粟 凤雏麟子 凤鸣麟出 凤引九雏 伏龙凤雏 芙蓉出水 孤雏腐鼠 汗出浃背 和睦相处 河不出图 河出伏流 计出万死 计绌方匮 计无由出 加减乘除 家无斗储 兼包并畜 兼收并畜 角立杰出 九年之储 臼杵之交 开利除害 科班出身 来处不易 离离矗矗 立地书厨 立地书橱 立身处世 利出一孔 麟子凤雏 另楚寒巫 六出纷飞 六出奇计 六畜不安 龙翰凤雏 磨杵成针 磨杵作针 莫辨楮叶 凄风楚雨 青出于蓝 情窦初开 设身处地 身首异处 神出鬼没 师出无名 师出有名 豕交兽畜 事出有因 事齐事楚 手到病除 熟思审处 水落石出 思不出位 夙兴夜处 文行出处 巫云楚雨 无出其右 无地自处 无下箸处 吾自有处 息迹静处 相形见绌 小姑独处 兴利除害 言出祸随 岩栖穴处 仰事俛畜 药到病除 一触即溃 一麾出守 一无是处 引申触类 引伸触类 有脚书厨 有脚书橱 有以善处 越凫楚乙 早出暮归 早出晚归 政由己出 诛锄异己 自出机杼 自出一家 左支右绌
chun,纯烬艾雅法拉,,,,,,白雪阳春 搬唇递舌 薄唇轻言 齿白唇红 触手生春 春风得意 春风和气 春风化雨 春风夏雨 春风野火 春风一度 春风沂水 春风雨露 春和景明 春花秋实 春花秋月 春华秋实 春回大地 春露秋霜 春葩丽藻 春秋无义战 春蛇秋蚓 春深似海 春树暮云 春宵一刻 春意阑珊 春蚓秋蛇 唇不离腮 唇齿相须 唇齿相依 唇腐齿落 唇红齿白 唇尖舌利 唇揭齿寒 唇竭齿寒 莼鲈之思 鹑衣百结 大醇小疵 大地春回 大地回春 斗唇合舌 辅车唇齿 富于春秋 鼓唇摇舌 鼓舌扬唇 鼓舌摇唇 寒木春华 回春之术 枯木逢春 枯树逢春 丽藻春葩 炉火纯青 暮云春树 秋实春华 秋月春风 秋月春花 桃李春风 徒费唇舌 杏花春雨 阳春白雪 阳春有脚 摇唇鼓喙 摇唇鼓舌 一室生春 沂水春风 有脚阳春 愚夫蠢妇 月旦春秋 朱唇皓齿 着手成春
ci,,刺玫,,,,,百辞莫辩 百喙一词 拜赐之师 包揽词讼 鲍鱼之次 卑辞厚礼 不辞劳苦 不次之迁 不次之位 不可造次 不吝赐教 不虚此行 不以辞害志 陈言肤词 出词吐气 出言吐词 词不达意 词不逮理 词不逮意 词清讼简 词无枝叶 词严义密 词严义正 词言义正 词约指明 词正理直 慈眉善目 慈眉善眼 慈明无双 辞不达义 辞不达意 辞不获命 辞微旨远 辞严气正 辞严义正 辞严谊正 辞严意正 此事体大 刺刺不休 刺股读书 大醇小疵 大慈大悲 调词架讼 断无此理 放言遣辞 浮语虚辞 父慈子孝 各执一词 故甚其词 话里带刺 话里有刺 瘠义肥辞 假慈悲 敬老慈幼 敬老慈穉 理不胜辞 理正词直 利喙赡辞 命词遣意 命辞遣意 莫此为甚 母慈子孝 念念有词 岂有此理 遣词措意 遣词立意 遣词造意 遣辞措意 深刺腧髓 始愿不及此 水火不辞 思归其雌 完美无疵 万死不辞 析辨诡词 析辨诡辞 析辩诡辞 修辞立诚 脩辞立诚 一家之辞 一言半辞 一至于此 以词害意 以辞害意 以此类推 以文害辞 义不容辞 义正词严 义正辞严 义正辞约 谊不容辞 溢美之辞 淫词秽语 淫辞秽语 隐约其词 隐约其辞 云次鳞集 造次行事 振振有词 振振有辞 支吾其词 诸有此类 子孝父慈
cui,淬羽赫默,,,,,,百折不摧 冰清玉粹 苍翠欲滴 苍松翠柏 摧枯拉腐 摧枯拉朽 摧枯折腐 摧枯振朽 摧兰折玉 摧眉折腰 摧身碎首 摧朽拉枯 翠消红减 翠竹黄花 单忧极瘁 浮翠流丹 桂折兰摧 黑云压城城欲摧 红飞翠舞 击钵催诗 坚不可摧 羯鼓催花 拉捭摧藏 拉朽摧枯 兰摧玉折 陵劲淬砺 靡坚不摧 磨礲淬励 神郁气悴 偎红倚翠 为虺弗摧 无坚不摧 洗濯磨淬 香药脆梅 依翠偎红 倚翠偎红 尤红殢翠 珠翠之珍 珠歌翠舞
cuo,嵯峨,,,,,,不失圭撮 仓皇失措 仓皇无措 撮科打哄 撮科打閧 撮土焚香 挫骨扬灰 措手不及 错落不齐 错落有致 大错特错 滴粉搓酥 惊慌失措 惊慌无措 惊皇失措 惊惶失措 惊惶无措 棋布错峙 遣词措意 遣辞措意 遣言措意 山肴海错 山珍海错 手脚无措 束手无措 无地自厝 阴阳交错 铸成大错
da,,达格达,,,,,挨肩搭背 百年大计 百年大业 百事大吉 包打天下 博大精深 不打不成相识 不打不相识 不求闻达 不识大体 不以一眚掩大德 趁哄打劫 趁火打劫 乘机打劫 舂容大雅 褚小杯大 褚小怀大 春回大地 词不达意 辞不达义 辞不达意 此事体大 撮科打哄 撮科打閧 打边鼓 打凤捞龙 打凤牢龙 打击报复 打家劫舍 打家截道 打家截舍 打街骂巷 打情卖笑 打鸭惊鸳 打鸭惊鸳鸯 大败亏输 大辩不言 大步流星 大彻大悟 大澈大悟 大吃一惊 大处落墨 大处着墨 大处着眼 大醇小疵 大慈大悲 大错特错 大打出手 大大咧咧 大大落落 大胆包身 大地春回 大地回春 大度包容 大方之家 大放悲声 大海捞针 大喊大叫 大旱云霓 大好河山 大红大紫 大惑不解 大吉大利 大家闺秀 大渐弥留 大街小巷 大节不夺 大开大合 大开眼界 大模大样 大莫与京 大逆不道 大逆无道 大起大落 大器晚成 大千世界 大请大受 大是大非 大手大脚 大书特书 大肆挥霍 大题小作 大题小做 大兴土木 大吆小喝 大摇大摆 大音希声 大有见地 大有可为 大有作为 大禹治水 大展宏图 大政方针 胆大包天 胆大于身 倒打一耙 道大莫容 地大物博 朵颐大嚼 放达不羁 分宵达曙 孚尹明达 浮一大白 蜉蝣撼大树 富贵利达 富家大室 富室大家 顾小失大 号唃大哭 号啕大哭 宏图大志 闳大不经 滑天下之大稽 恢宏大度 豁达大度 货赂大行 鸡飞蛋打 积小成大 即小见大 见笑大方 精打细算 胫大于股 久闻大名 老大无成 礼无不答 溜之大吉 绿林大盗 荦荦大端 荦荦大者 落落大方 弥天大谎 弥天大祸 迷天大谎 明效大验 明验大效 欺大压小 前言不搭后语 清水无大鱼 求志达道 深明大义 深文大义 声势浩大 声威大震 石沉大海 识时达变 识时达务 事无大小 斯事体大 四冲六达 四大皆空 桃来李答 体大思精 天大地大 完事大吉 万事大吉 微言大义 微言大谊 为小失大 围城打援 未达一间 问一答十 无大不大 无大无小 无万大千 无遮大会 五羖大夫 小惩大诫 小大由之 小题大作 小题大做 小巫见大巫 小黠大痴 晓以大义 言不达意 泱泱大风 扬铃打鼓 一孔不达 一元大武 贻笑大方 遗哂大方 遗笑大方 以大恶细 以小见大 因小失大 有一搭没一搭 鱼大水小 榆木圪垯 榆木疙瘩 欲速不达 真相大白 枕戈达旦 知情达理 知书达礼 智小言大 竹篮打水 柱小倾大 铸成大错 兹事体大
